category,theoryTitle,theoryContent,theoryStructure,theoryHint,questionType,questionText,optionA,optionB,optionC,optionD,correctAnswer
Present Continuous,Thì Hiện tại tiếp diễn (Present Continuous),Dùng để diễn tả hành động đang xảy ra tại thời điểm nói hoặc xung quanh thời điểm nói.,S + am/is/are + V-ing,now; right now; at the moment; at present; Look!; Listen!,Điền từ,I ______ a book right now.,am reading,is reading,are reading,read,am reading
Present Continuous,Thì Hiện tại tiếp diễn (Present Continuous),Dùng để diễn tả hành động đang xảy ra tại thời điểm nói hoặc xung quanh thời điểm nói.,S + am/is/are + V-ing,now; right now; at the moment; at present; Look!; Listen!,Điền từ,She ______ dinner at the moment.,cooks,is cooking,are cooking,am cooking,is cooking
Present Continuous,Thì Hiện tại tiếp diễn (Present Continuous),Dùng để diễn tả hành động đang xảy ra tại thời điểm nói hoặc xung quanh thời điểm nói.,S + am/is/are + V-ing,now; right now; at the moment; at present; Look!; Listen!,Điền từ,They ______ football now.,is playing,am playing,are playing,play,are playing
Present Continuous,Thì Hiện tại tiếp diễn (Present Continuous),Dùng để diễn tả hành động đang xảy ra tại thời điểm nói hoặc xung quanh thời điểm nói.,S + am/is/are + V-ing,now; right now; at the moment; at present; Look!; Listen!,Điền từ,Look! The baby ______.,sleeps,is sleeping,are sleeping,am sleeping,is sleeping
Present Continuous,Thì Hiện tại tiếp diễn (Present Continuous),Dùng để diễn tả hành động đang xảy ra tại thời điểm nói hoặc xung quanh thời điểm nói.,S + am/is/are + V-ing,now; right now; at the moment; at present; Look!; Listen!,Điền từ,Listen! Someone ______.,is singing,sings,are singing,am singing,is singing
Present Continuous,Thì Hiện tại tiếp diễn (Present Continuous),Dùng để diễn tả hành động đang xảy ra tại thời điểm nói hoặc xung quanh thời điểm nói.,S + am/is/are + V-ing,now; right now; at the moment; at present; Look!; Listen!,Điền từ,He ______ today.,not works,is not working,are not working,am not working,is not working
Present Continuous,Thì Hiện tại tiếp diễn (Present Continuous),Dùng để diễn tả hành động đang xảy ra tại thời điểm nói hoặc xung quanh thời điểm nói.,S + am/is/are + V-ing,now; right now; at the moment; at present; Look!; Listen!,Điền từ,We ______ English at present.,are studying,is studying,am studying,studies,are studying
Present Continuous,Thì Hiện tại tiếp diễn (Present Continuous),Dùng để diễn tả hành động đang xảy ra tại thời điểm nói hoặc xung quanh thời điểm nói.,S + am/is/are + V-ing,now; right now; at the moment; at present; Look!; Listen!,Điền từ,The dog ______ in the garden right now.,are running,am running,is running,runs,is running
Present Continuous,Thì Hiện tại tiếp diễn (Present Continuous),Dùng để diễn tả hành động đang xảy ra tại thời điểm nói hoặc xung quanh thời điểm nói.,S + am/is/are + V-ing,now; right now; at the moment; at present; Look!; Listen!,Điền từ,My mother ______ the house at the moment.,is cleaning,are cleaning,am cleaning,cleans,is cleaning
Present Continuous,Thì Hiện tại tiếp diễn (Present Continuous),Dùng để diễn tả hành động đang xảy ra tại thời điểm nói hoặc xung quanh thời điểm nói.,S + am/is/are + V-ing,now; right now; at the moment; at present; Look!; Listen!,Điền từ,The children ______ television now.,is watching,am watching,are watching,watches,are watching
Present Continuous,Thì Hiện tại tiếp diễn (Present Continuous),Dùng để diễn tả hành động đang xảy ra tại thời điểm nói hoặc xung quanh thời điểm nói.,S + am/is/are + V-ing,now; right now; at the moment; at present; Look!; Listen!,Điền từ,I ______ for my exam right now.,is studying,are studying,am studying,study,am studying
Present Continuous,Thì Hiện tại tiếp diễn (Present Continuous),Dùng để diễn tả hành động đang xảy ra tại thời điểm nói hoặc xung quanh thời điểm nói.,S + am/is/are + V-ing,now; right now; at the moment; at present; Look!; Listen!,Điền từ,It ______ outside. Take an umbrella!,rains,is raining,are raining,am raining,is raining
Present Continuous,Thì Hiện tại tiếp diễn (Present Continuous),Dùng để diễn tả hành động đang xảy ra tại thời điểm nói hoặc xung quanh thời điểm nói.,S + am/is/are + V-ing,now; right now; at the moment; at present; Look!; Listen!,Điền từ,The sun ______ brightly today.,is shining,are shining,am shining,shines,is shining
Present Continuous,Thì Hiện tại tiếp diễn (Present Continuous),Dùng để diễn tả hành động đang xảy ra tại thời điểm nói hoặc xung quanh thời điểm nói.,S + am/is/are + V-ing,now; right now; at the moment; at present; Look!; Listen!,Điền từ,You are always ______ your keys! (annoying habit),losing,is losing,am losing,lose,losing
Present Continuous,Thì Hiện tại tiếp diễn (Present Continuous),Dùng để diễn tả hành động đang xảy ra tại thời điểm nói hoặc xung quanh thời điểm nói.,S + am/is/are + V-ing,now; right now; at the moment; at present; Look!; Listen!,Điền từ,Look! The bus ______.,is coming,are coming,am coming,comes,is coming
Present Continuous,Thì Hiện tại tiếp diễn (Present Continuous),Dùng để diễn tả hành động đang xảy ra tại thời điểm nói hoặc xung quanh thời điểm nói.,S + am/is/are + V-ing,now; right now; at the moment; at present; Look!; Listen!,Điền từ,Shh! The students ______ a test.,is taking,am taking,are taking,takes,are taking
Present Continuous,Thì Hiện tại tiếp diễn (Present Continuous),Dùng để diễn tả hành động đang xảy ra tại thời điểm nói hoặc xung quanh thời điểm nói.,S + am/is/are + V-ing,now; right now; at the moment; at present; Look!; Listen!,Điền từ,My brother ______ a shower at the moment.,has,is having,are having,am having,is having
Present Continuous,Thì Hiện tại tiếp diễn (Present Continuous),Dùng để diễn tả hành động đang xảy ra tại thời điểm nói hoặc xung quanh thời điểm nói.,S + am/is/are + V-ing,now; right now; at the moment; at present; Look!; Listen!,Điền từ,I ______ to music right now.,am listening,is listening,are listening,listen,am listening
Present Continuous,Thì Hiện tại tiếp diễn (Present Continuous),Dùng để diễn tả hành động đang xảy ra tại thời điểm nói hoặc xung quanh thời điểm nói.,S + am/is/are + V-ing,now; right now; at the moment; at present; Look!; Listen!,Điền từ,They ______ a new bridge in the city.,are building,is building,am building,builds,are building
Present Continuous,Thì Hiện tại tiếp diễn (Present Continuous),Dùng để diễn tả hành động đang xảy ra tại thời điểm nói hoặc xung quanh thời điểm nói.,S + am/is/are + V-ing,now; right now; at the moment; at present; Look!; Listen!,Điền từ,She ______ her teeth now.,is brushing,are brushing,am brushing,brushes,is brushing
Present Continuous,Thì Hiện tại tiếp diễn (Present Continuous),Dùng để diễn tả hành động đang xảy ra tại thời điểm nói hoặc xung quanh thời điểm nói.,S + am/is/are + V-ing,now; right now; at the moment; at present; Look!; Listen!,Điền từ,We ______ dinner with our friends tonight.,is having,am having,are having,have,are having
Present Continuous,Thì Hiện tại tiếp diễn (Present Continuous),Dùng để diễn tả hành động đang xảy ra tại thời điểm nói hoặc xung quanh thời điểm nói.,S + am/is/are + V-ing,now; right now; at the moment; at present; Look!; Listen!,Điền từ,The cat ______ on the sofa.,is sleeping,are sleeping,am sleeping,sleeps,is sleeping
Present Continuous,Thì Hiện tại tiếp diễn (Present Continuous),Dùng để diễn tả hành động đang xảy ra tại thời điểm nói hoặc xung quanh thời điểm nói.,S + am/is/are + V-ing,now; right now; at the moment; at present; Look!; Listen!,Điền từ,My father ______ his car at the moment.,is washing,are washing,am washing,washes,is washing
Present Continuous,Thì Hiện tại tiếp diễn (Present Continuous),Dùng để diễn tả hành động đang xảy ra tại thời điểm nói hoặc xung quanh thời điểm nói.,S + am/is/are + V-ing,now; right now; at the moment; at present; Look!; Listen!,Điền từ,I ______ a letter to my friend.,is writing,are writing,am writing,write,am writing
Present Continuous,Thì Hiện tại tiếp diễn (Present Continuous),Dùng để diễn tả hành động đang xảy ra tại thời điểm nói hoặc xung quanh thời điểm nói.,S + am/is/are + V-ing,now; right now; at the moment; at present; Look!; Listen!,Điền từ,They ______ for the bus.,are waiting,is waiting,am waiting,waits,are waiting
Present Continuous,Thì Hiện tại tiếp diễn (Present Continuous),Dùng để diễn tả hành động đang xảy ra tại thời điểm nói hoặc xung quanh thời điểm nói.,S + am/is/are + V-ing,now; right now; at the moment; at present; Look!; Listen!,Điền từ,The birds ______ in the trees.,is singing,am singing,are singing,sings,are singing
Present Continuous,Thì Hiện tại tiếp diễn (Present Continuous),Dùng để diễn tả hành động đang xảy ra tại thời điểm nói hoặc xung quanh thời điểm nói.,S + am/is/are + V-ing,now; right now; at the moment; at present; Look!; Listen!,Điền từ,He ______ a heavy box.,is carrying,are carrying,am carrying,carries,is carrying
Present Continuous,Thì Hiện tại tiếp diễn (Present Continuous),Dùng để diễn tả hành động đang xảy ra tại thời điểm nói hoặc xung quanh thời điểm nói.,S + am/is/are + V-ing,now; right now; at the moment; at present; Look!; Listen!,Điền từ,We ______ English grammar now.,are learning,is learning,am learning,learns,are learning
Present Continuous,Thì Hiện tại tiếp diễn (Present Continuous),Dùng để diễn tả hành động đang xảy ra tại thời điểm nói hoặc xung quanh thời điểm nói.,S + am/is/are + V-ing,now; right now; at the moment; at present; Look!; Listen!,Điền từ,Look! The monkey ______ the tree.,is climbing,are climbing,am climbing,climbs,is climbing
Present Continuous,Thì Hiện tại tiếp diễn (Present Continuous),Dùng để diễn tả hành động đang xảy ra tại thời điểm nói hoặc xung quanh thời điểm nói.,S + am/is/are + V-ing,now; right now; at the moment; at present; Look!; Listen!,Điền từ,I ______ tea instead of coffee today.,am drinking,is drinking,are drinking,drinks,am drinking
