Word,Definition,Vietnamese Translation,Example Sentence,Part of Speech,Related Forms,Synonyms,Antonyms,Collocations
abandon,Cease to support or look after (someone); desert,bỏ rơi,She decided to abandon her plans.,verb,"abandons, abandoning, abandoned","desert, leave","support, keep","abandon a plan, abandon a child"
abandoned,Having been deserted or left,bị bỏ rơi,The house was abandoned.,adjective,none,"deserted, forsaken","inhabited, populated","abandoned house, abandoned car"
ability,Possession of the means or skill to do something,khả năng,She has the ability to learn languages quickly.,noun,abilities,"talent, skill","inability, incapacity","intellectual ability, physical ability"
able,"Having the power, skill, means, or opportunity to do something",có thể,She is able to solve the problem.,adjective,"abler, ablest","capable, competent","unable, incapable","able to, able-bodied"
about,On the subject of; concerning,Về,They talked about the project.,preposition,none,"regarding, concerning",none,"about a topic, about 5 o'clock"
above,At a higher level or layer,bên trên,The birds flew above the trees.,"preposition, adverb","above-mentioned, above-named","over, higher than","below, under","above average, above all"
abroad,In or to a foreign country or countries,ở nước ngoài,She studied abroad for a year.,adverb,none,"overseas, internationally","domestically, locally","study abroad, travel abroad"
absence,The state of being away from a place or person,sự vắng mặt,Her absence was noticed.,noun,absences,"nonattendance, nonexistence","presence, attendance","leave of absence, in the absence of"
absent,"Not present in a place, at an occasion, or as part of something",vắng mặt,He was absent from the meeting.,adjective,absently,"missing, away","present, available","absent from school, absent-minded"
absolute,Not qualified or diminished in any way; total,tuyệt đối,There is absolute silence in the room.,adjective,absolutely,"complete, total","partial, relative","absolute truth, absolute power"
absolutely,"With no qualification, restriction, or limitation; totally",tuyệt đối,She is absolutely certain.,adverb,"absolute, absolutism","completely, totally","partially, incompletely","absolutely right, absolutely certain"
absorb,"Take in or soak up (energy, or a liquid or other substance) by chemical or physical action",hấp thụ,The sponge absorbs water.,verb,"absorbs, absorbing, absorbed","soak up, take in","release, exude","absorb water, absorb information"
abuse,Use (something) to bad effect or for a bad purpose; misuse,lạm dụng,He was accused of abuse.,"noun, verb","abuses, abusing, abused","misuse, mistreat","use properly, care","substance abuse, abuse of power"
academic,Relating to education and scholarship,học thuật,She received academic awards.,"adjective, noun","academia, academically","educational, scholarly","nonacademic, unscholarly","academic year, academic achievement"
